Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-01-01,10225,10218.071
2022-01-02,10225,10217.493
2022-01-03,10250,10217.1875
2022-01-04,10275,10238.579
2022-01-05,10275,10264.322
2022-01-06,10275,10268.326
2022-01-07,10275,10267.507
2022-01-08,10275,10266.605
2022-01-09,10275,10266.173
2022-01-10,10275,10265.991
2022-01-11,10275,10265.934
2022-01-12,10300,10265.934
2022-01-13,10300,10287.588
2022-01-14,10325,10291.761
2022-01-15,10325,10313.218
2022-01-16,10325,10316.763
2022-01-17,10325,10316.168
2022-01-18,10325,10315.435
2022-01-19,10325,10315.065
2022-01-20,10325,10314.942
2022-01-21,10350,10314.883
2022-01-22,10350,10336.671
2022-01-23,10350,10340.787
2022-01-24,10350,10340.477
2022-01-25,10350,10339.859
2022-01-26,10350,10339.548
2022-01-27,10350,10339.425
2022-01-28,10350,10339.365
2022-01-29,10350,10339.365
2022-01-30,10350,10339.365
2022-01-31,10350,10339.365
2022-02-01,10350,10339.365
2022-02-02,10225,10339.365
2022-02-03,10225,10230.321
2022-02-04,10225,10210.165
2022-02-05,10225,10211.595
2022-02-06,10225,10214.586
2022-02-07,10225,10216.119
2022-02-08,10225,10216.724
2022-02-09,10225,10217.007
2022-02-10,10225,10217.007
2022-02-11,10225,10217.007
2022-02-12,10225,10217.007
2022-02-13,10225,10217.007
2022-02-14,10225,10217.007
2022-02-15,10225,10217.007
2022-02-16,10225,10217.007
2022-02-17,10225,10217.007
2022-02-18,10225,10217.007
2022-02-19,10225,10217.007
2022-02-20,10225,10217.007
2022-02-21,10225,10217.007
2022-02-22,10225,10217.007
2022-02-23,10225,10217.007
2022-02-24,10225,10217.007
2022-02-25,10225,10217.007
2022-02-26,10225,10217.007
2022-02-27,10225,10217.007
2022-02-28,10225,10217.007
2022-03-01,10225,10217.007
2022-03-02,10225,10217.007
2022-03-03,10225,10217.007
2022-03-04,10250,10217.007
2022-03-05,10250,10238.522
2022-03-06,10250,10242.752
2022-03-07,10250,10242.542
2022-03-08,10250,10241.956
2022-03-09,10250,10241.647
2022-03-10,10250,10241.524
2022-03-11,10250,10241.467
2022-03-12,10250,10241.467
2022-03-13,10250,10241.467
2022-03-14,10250,10241.467
2022-03-15,10250,10241.467
2022-03-16,10250,10241.467
2022-03-17,10250,10241.467
2022-03-18,10250,10241.467
2022-03-19,10250,10241.467
2022-03-20,10250,10241.467
2022-03-21,10250,10241.467
2022-03-22,10250,10241.467
2022-03-23,10250,10241.467
2022-03-24,10250,10241.467
2022-03-25,10250,10241.467
2022-03-26,10250,10241.467
2022-03-27,10250,10241.467
2022-03-28,10250,10241.467
2022-03-29,10225,10241.467
2022-03-30,10225,10219.898
2022-03-31,10225,10215.717
2022-04-01,10225,10215.937
2022-04-02,10225,10216.521
2022-04-03,10225,10216.827
2022-04-04,10225,10216.95
2022-04-05,10225,10217.007
2022-04-06,10225,10217.007
2022-04-07,10225,10217.007
2022-04-08,10225,10217.007
2022-04-09,10225,10217.007
2022-04-10,10225,10217.007
2022-04-11,10225,10217.007
2022-04-12,10225,10217.007
2022-04-13,10225,10217.007
2022-04-14,10225,10217.007
2022-04-15,10225,10217.007
2022-04-16,10225,10217.007
2022-04-17,10225,10217.007
2022-04-18,10225,10217.007
2022-04-19,10225,10217.007
2022-04-20,10225,10217.007
2022-04-21,10225,10217.007
2022-04-22,10225,10217.007
2022-04-23,10225,10217.007
2022-04-24,10225,10217.007
2022-04-25,10225,10217.007
2022-04-26,10225,10217.007
2022-04-27,10225,10217.007
2022-04-28,10225,10217.007
2022-04-29,10225,10217.007
2022-04-30,10225,10217.007
2022-05-01,10425,10217.007
2022-05-02,10425,10389.59
2022-05-03,10425,10423.952
2022-05-04,10425,10421.802
2022-05-05,10425,10416.856
2022-05-06,10425,10414.343
2022-05-07,10425,10413.341
2022-05-08,10450,10412.844
2022-05-09,10450,10434.891
2022-05-10,10475,10438.896
2022-05-11,10500,10460.597
2022-05-12,10450,10486.088
2022-05-13,10450,10444.919
2022-05-14,10450,10435.868
2022-05-15,10450,10435.727
2022-05-16,10450,10436.601
2022-05-17,10425,10437.043
2022-05-18,10400,10415.126
2022-05-19,10375,10389.245
2022-05-20,10375,10363.696
2022-05-21,10375,10360.733
2022-05-22,10375,10362.054
2022-05-23,10350,10363.118
2022-05-24,10325,10341.704
2022-05-25,10300,10315.992
2022-05-26,10300,10290.548
2022-05-27,10300,10287.412
2022-05-28,10300,10288.636
2022-05-29,10300,10289.677
2022-05-30,10275,10290.166
2022-05-31,10275,10268.641
2022-06-01,10275,10264.574
2022-06-02,10275,10264.844
2022-06-03,10250,10265.444
2022-06-04,10250,10244.114
2022-06-05,10250,10240.084
2022-06-06,10225,10240.387
2022-06-07,10200,10219.409
2022-06-08,10200,10194.022
2022-06-09,10200,10190.169
2022-06-10,10200,10191.008
2022-06-11,10200,10191.89
2022-06-12,10200,10192.318
2022-06-13,10200,10192.496
2022-06-14,10200,10192.553
2022-06-15,10175,10192.553
2022-06-16,10175,10171.124
2022-06-17,10175,10166.887
2022-06-18,10175,10167.055
2022-06-19,10175,10167.621
2022-06-20,10175,10167.927
2022-06-21,10175,10168.049
2022-06-22,10200,10168.1045
2022-06-23,10225,10189.478
2022-06-24,10225,10215.195
2022-06-25,10225,10219.308
2022-06-26,10225,10218.557
2022-06-27,10200,10217.675
2022-06-28,10200,10195.746
2022-06-29,10200,10191.355
2022-06-30,10200,10191.492
2022-07-01,10200,10192.068
2022-07-02,10200,10192.374
2022-07-03,10200,10192.496
