Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-01-01,10225,10231.041
2022-01-02,10225,10230.699
2022-01-03,10250,10230.452
2022-01-04,10275,10251.985
2022-01-05,10275,10277.953
2022-01-06,10275,10282.222
2022-01-07,10275,10281.916
2022-01-08,10275,10281.427
2022-01-09,10275,10281.055
2022-01-10,10275,10280.735
2022-01-11,10275,10280.469
2022-01-12,10300,10280.254
2022-01-13,10300,10301.918
2022-01-14,10325,10306.101
2022-01-15,10325,10327.893
2022-01-16,10325,10331.864
2022-01-17,10325,10331.646
2022-01-18,10325,10331.208
2022-01-19,10325,10330.883
2022-01-20,10325,10330.609
2022-01-21,10350,10330.381
2022-01-22,10350,10352.121
2022-01-23,10350,10356.249
2022-01-24,10350,10356.122
2022-01-25,10350,10355.78
2022-01-26,10350,10355.546
2022-01-27,10350,10355.346
2022-01-28,10350,10355.174
2022-01-29,10350,10355.035
2022-01-30,10350,10354.924
2022-01-31,10350,10354.835
2022-02-01,10350,10354.764
2022-02-02,10225,10354.706
2022-02-03,10225,10245.023
2022-02-04,10225,10223.833
2022-02-05,10225,10223.75
2022-02-06,10225,10224.951
2022-02-07,10225,10225.742
2022-02-08,10225,10226.435
2022-02-09,10225,10227.034
2022-02-10,10225,10227.521
2022-02-11,10225,10227.909
2022-02-12,10225,10228.218
2022-02-13,10225,10228.46
2022-02-14,10225,10228.653
2022-02-15,10225,10228.807
2022-02-16,10225,10228.928
2022-02-17,10225,10229.024
2022-02-18,10225,10229.1
2022-02-19,10225,10229.16
2022-02-20,10225,10229.207
2022-02-21,10225,10229.246
2022-02-22,10225,10229.277
2022-02-23,10225,10229.302
2022-02-24,10225,10229.321
2022-02-25,10225,10229.337
2022-02-26,10225,10229.35
2022-02-27,10225,10229.36
2022-02-28,10225,10229.369
2022-03-01,10225,10229.375
2022-03-02,10225,10229.382
2022-03-03,10225,10229.386
2022-03-04,10250,10229.391
2022-03-05,10250,10251.135
2022-03-06,10250,10255.497
2022-03-07,10250,10255.554
2022-03-08,10250,10255.314
2022-03-09,10250,10255.154
2022-03-10,10250,10255.013
2022-03-11,10250,10254.892
2022-03-12,10250,10254.791
2022-03-13,10250,10254.713
2022-03-14,10250,10254.649
2022-03-15,10250,10254.6
2022-03-16,10250,10254.561
2022-03-17,10250,10254.529
2022-03-18,10250,10254.505
2022-03-19,10250,10254.485
2022-03-20,10250,10254.47
2022-03-21,10250,10254.456
2022-03-22,10250,10254.446
2022-03-23,10250,10254.439
2022-03-24,10250,10254.433
2022-03-25,10250,10254.428
2022-03-26,10250,10254.424
2022-03-27,10250,10254.421
2022-03-28,10250,10254.417
2022-03-29,10225,10254.415
2022-03-30,10225,10232.639
2022-03-31,10225,10228.305
2022-04-01,10225,10228.251
2022-04-02,10225,10228.489
2022-04-03,10225,10228.65
2022-04-04,10225,10228.791
2022-04-05,10225,10228.913
2022-04-06,10225,10229.012
2022-04-07,10225,10229.091
2022-04-08,10225,10229.153
2022-04-09,10225,10229.203
2022-04-10,10225,10229.242
2022-04-11,10225,10229.272
2022-04-12,10225,10229.298
2022-04-13,10225,10229.317
2022-04-14,10225,10229.332
2022-04-15,10225,10229.345
2022-04-16,10225,10229.354
2022-04-17,10225,10229.362
2022-04-18,10225,10229.368
2022-04-19,10225,10229.373
2022-04-20,10225,10229.377
2022-04-21,10225,10229.38
2022-04-22,10225,10229.382
2022-04-23,10225,10229.385
2022-04-24,10225,10229.386
2022-04-25,10225,10229.388
2022-04-26,10225,10229.389
2022-04-27,10225,10229.39
2022-04-28,10225,10229.391
2022-04-29,10225,10229.391
2022-04-30,10225,10229.391
2022-05-01,10425,10229.391
2022-05-02,10425,10403.783
2022-05-03,10425,10438.867
2022-05-04,10425,10438.967
2022-05-05,10425,10437.001
2022-05-06,10425,10435.749
2022-05-07,10425,10434.632
2022-05-08,10450,10433.653
2022-05-09,10450,10454.94
2022-05-10,10475,10458.49
2022-05-11,10500,10480.035
2022-05-12,10450,10505.704
2022-05-13,10450,10464.932
2022-05-14,10450,10455.9
2022-05-15,10450,10455.332
2022-05-16,10450,10455.274
2022-05-17,10425,10455.098
2022-05-18,10400,10432.846
2022-05-19,10375,10406.504
2022-05-20,10375,10380.283
2022-05-21,10375,10376.359
2022-05-22,10375,10376.78
2022-05-23,10350,10377.298
2022-05-24,10325,10355.685
2022-05-25,10300,10329.835
2022-05-26,10300,10303.989
2022-05-27,10300,10300.241
2022-05-28,10300,10300.843
2022-05-29,10300,10301.54
2022-05-30,10275,10302.083
2022-05-31,10275,10280.664
2022-06-01,10275,10276.767
2022-06-02,10275,10277.061
2022-06-03,10250,10277.553
2022-06-04,10250,10256.082
2022-06-05,10250,10252.076
2022-06-06,10225,10252.291
2022-06-07,10200,10230.95
2022-06-08,10200,10205.201
2022-06-09,10200,10201.078
2022-06-10,10200,10201.479
2022-06-11,10200,10202.062
2022-06-12,10200,10202.509
2022-06-13,10200,10202.886
2022-06-14,10200,10203.196
2022-06-15,10175,10203.446
2022-06-16,10175,10181.962
2022-06-17,10175,10177.742
2022-06-18,10175,10177.778
2022-06-19,10175,10178.108
2022-06-20,10175,10178.348
2022-06-21,10175,10178.549
2022-06-22,10200,10178.719
2022-06-23,10225,10200.504
2022-06-24,10225,10226.704
2022-06-25,10225,10231.272
2022-06-26,10225,10231.183
2022-06-27,10200,10230.838
2022-06-28,10200,10208.854
2022-06-29,10200,10204.266
2022-06-30,10200,10203.998
2022-07-01,10200,10204.076
2022-07-02,10200,10204.112
2022-07-03,10200,10204.155
2022-07-04,10225,10204.199
2022-07-05,10225,10225.933
2022-07-06,10225,10230.348
2022-07-07,10225,10230.445
2022-07-08,10225,10230.228
2022-07-09,10225,10230.08
2022-07-10,10225,10229.949
2022-07-11,10250,10229.837
2022-07-12,10275,10251.486
2022-07-13,10275,10277.556
2022-07-14,10300,10281.904
2022-07-15,10300,10303.493
2022-07-16,10300,10307.38
2022-07-17,10300,10307.076
2022-07-18,10300,10306.549
2022-07-19,10300,10306.149
2022-07-20,10325,10305.814
2022-07-21,10350,10327.419
2022-07-22,10375,10353.409
2022-07-23,10375,10379.4795
2022-07-24,10375,10383.355
2022-07-25,10400,10382.819
2022-07-26,10400,10404.19
2022-07-27,10400,10407.9375
2022-07-28,10400,10407.48
2022-07-29,10400,10406.881
2022-07-30,10400,10406.442
2022-07-31,10400,10406.076
2022-08-01,10400,10405.771
2022-08-02,10425,10405.525
2022-08-03,10425,10427.382
2022-08-04,10450,10431.436
2022-08-05,10475,10453.345
2022-08-06,10475,10479.31
2022-08-07,10475,10483.18
2022-08-08,10500,10482.636
2022-08-09,10500,10504.222
2022-08-10,10525,10507.937
2022-08-11,10550,10529.671
2022-08-12,10550,10555.477
2022-08-13,10550,10559.073
2022-08-14,10550,10558.344
2022-08-15,10575,10557.641
2022-08-16,10575,10579.403
2022-08-17,10575,10583.044
2022-08-18,10600,10582.5205
2022-08-19,10625,10604.277
2022-08-20,10625,10630.307
2022-08-21,10625,10633.87
2022-08-22,10625,10633.152
2022-08-23,10625,10632.503
2022-08-24,10625,10632.021
2022-08-25,10600,10631.604
2022-08-26,10625,10608.858
2022-08-27,10625,10626.917
2022-08-28,10625,10630.9
2022-08-29,10650,10630.797
2022-08-30,10650,10652.929
2022-08-31,10675,10656.821
2022-09-01,10700,10678.951
2022-09-02,10700,10705.061
2022-09-03,10700,10708.631
2022-09-04,10700,10707.944
2022-09-05,10725,10707.35
2022-09-06,10725,10729.422
2022-09-07,10725,10733.019
2022-09-08,10725,10732.472
2022-09-09,10725,10731.936
2022-09-10,10725,10731.57
2022-09-11,10725,10731.254
2022-09-12,10725,10730.983
2022-09-13,10750,10730.761
2022-09-14,10750,10753.119
2022-09-15,10750,10756.93
2022-09-16,10750,10756.569
2022-09-17,10750,10756.197
2022-09-18,10750,10755.969
2022-09-19,10750,10755.764
2022-09-20,10700,10755.585
2022-09-21,10700,10710.312
2022-09-22,10675,10702.319
2022-09-23,10650,10680.18
2022-09-24,10650,10654.19
2022-09-25,10650,10650.655
2022-09-26,10625,10651.354
2022-09-27,10625,10629.531
2022-09-28,10625,10625.985
2022-09-29,10625,10626.579
2022-09-30,10600,10627.186
2022-10-01,10600,10605.212
2022-10-02,10600,10601.561
2022-10-03,10625,10602.053
2022-10-04,10625,10624.953
2022-10-05,10625,10629.357
2022-10-06,10625,10629.491
2022-10-07,10625,10629.489
2022-10-08,10625,10629.555
2022-10-09,10625,10629.592
2022-10-10,10650,10629.612
2022-10-11,10675,10652.038
2022-10-12,10700,10678.518
2022-10-13,10725,10704.827
2022-10-14,10750,10730.876
2022-10-15,10750,10756.78
2022-10-16,10750,10759.989
2022-10-17,10750,10759.091
2022-10-18,10750,10758.321
2022-10-19,10750,10757.737
2022-10-20,10750,10757.2295
2022-10-21,10750,10756.797
2022-10-22,10750,10756.441
2022-10-23,10750,10756.147
2022-10-24,10725,10755.902
2022-10-25,10725,10733.135
2022-10-26,10725,10729.03
2022-10-27,10700,10729.131
2022-10-28,10700,10706.749
2022-10-29,10700,10702.849
2022-10-30,10700,10703.139
2022-10-31,10700,10703.466
2022-11-01,10700,10703.661
2022-11-02,10700,10703.838
2022-11-03,10700,10703.994
2022-11-04,10725,10704.123
2022-11-05,10725,10726.743
2022-11-06,10725,10730.805
2022-11-07,10750,10730.649
2022-11-08,10775,10752.982
2022-11-09,10800,10779.412
2022-11-10,10825,10805.624
2022-11-11,10850,10831.582
2022-11-12,10850,10857.415
2022-11-13,10850,10860.443
2022-11-14,10875,10859.448
2022-11-15,10875,10881.333
2022-11-16,10900,10884.599
2022-11-17,10900,10906.491
2022-11-18,10925,10909.631
2022-11-19,10925,10931.562
2022-11-20,10925,10934.691
2022-11-21,10950,10933.856
2022-11-22,10975,10955.913
2022-11-23,10975,10982.027
2022-11-24,10975,10985.066
2022-11-25,11000,10984.068
2022-11-26,11000,11006.172
2022-11-27,11000,11009.431
2022-11-28,11000,11008.6
2022-11-29,11000,11007.911
2022-11-30,11000,11007.429
2022-12-01,11025,11007.004
2022-12-02,11050,11029.505
2022-12-03,11050,11055.869
2022-12-04,11050,11059.028
2022-12-05,11050,11058.176
2022-12-06,11075,11057.591
2022-12-07,11100,11080.088
2022-12-08,11125,11106.398
2022-12-09,11150,11132.397
2022-12-10,11150,11158.182
2022-12-11,11150,11160.88
2022-12-12,11150,11159.755
2022-12-13,11150,11158.942
2022-12-14,11150,11158.324
2022-12-15,11150,11157.771
2022-12-16,11150,11157.297
2022-12-17,11150,11156.899
2022-12-18,11150,11156.562
2022-12-19,11150,11156.279
2022-12-20,11175,11156.041
2022-12-21,11175,11178.853
2022-12-22,11175,11182.379
2022-12-23,11150,11181.822
2022-12-24,11150,11158.398
2022-12-25,11150,11154.488
2022-12-26,11150,11154.691
2022-12-27,11175,11154.774
2022-12-28,11175,11177.76
2022-12-29,11175,11181.452
2022-12-30,11175,11181.041
