Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-07-03,10200,10191.935
2022-07-04,10225,10191.994
2022-07-05,10225,10213.205
2022-07-06,10225,10217.291
2022-07-07,10225,10217.926
2022-07-08,10225,10217.934
2022-07-09,10225,10217.791
2022-07-10,10225,10217.621
2022-07-11,10250,10217.468
2022-07-12,10275,10238.562
2022-07-13,10275,10263.747
2022-07-14,10300,10268.2705
2022-07-15,10300,10290.101
2022-07-16,10300,10293.851
2022-07-17,10300,10294.029
2022-07-18,10300,10293.616
2022-07-19,10300,10293.117
2022-07-20,10325,10292.661
2022-07-21,10350,10313.681
2022-07-22,10375,10338.772
2022-07-23,10375,10364.526
2022-07-24,10375,10368.782
2022-07-25,10400,10368.968
2022-07-26,10400,10390.013
2022-07-27,10400,10393.272
2022-07-28,10400,10393.214
2022-07-29,10400,10392.685
2022-07-30,10400,10392.113
2022-07-31,10400,10391.6045
2022-08-01,10400,10391.182
2022-08-02,10425,10390.842
2022-08-03,10425,10412.204
2022-08-04,10450,10415.852
2022-08-05,10475,10437.873
2022-08-06,10475,10463.261
2022-08-07,10475,10467.309
2022-08-08,10500,10467.47
2022-08-09,10500,10488.78
2022-08-10,10525,10491.998
2022-08-11,10550,10513.778
2022-08-12,10550,10538.933
2022-08-13,10550,10542.62
2022-08-14,10550,10542.528
2022-08-15,10575,10541.864
2022-08-16,10575,10563.08
2022-08-17,10575,10566.153
2022-08-18,10600,10566.052
2022-08-19,10625,10587.538
2022-08-20,10625,10612.735
2022-08-21,10625,10616.379
2022-08-22,10625,10616.331
2022-08-23,10625,10615.73
2022-08-24,10625,10615.055
2022-08-25,10600,10614.438
2022-08-26,10625,10591.83
2022-08-27,10625,10609.823
2022-08-28,10625,10612.732
2022-08-29,10650,10612.954
2022-08-30,10650,10634.959
2022-08-31,10675,10638.457
2022-09-01,10700,10660.853
2022-09-02,10700,10686.461
2022-09-03,10700,10690.188
2022-09-04,10700,10690.209
2022-09-05,10725,10689.669
2022-09-06,10725,10711.278
2022-09-07,10725,10714.299
2022-09-08,10725,10714.202
2022-09-09,10725,10713.72
2022-09-10,10725,10713.192
2022-09-11,10725,10712.713
2022-09-12,10725,10712.308
2022-09-13,10750,10711.974
2022-09-14,10750,10733.994
2022-09-15,10750,10737.351
2022-09-16,10750,10737.554
2022-09-17,10750,10737.325
2022-09-18,10750,10737.006
2022-09-19,10750,10736.695
2022-09-20,10700,10736.427
2022-09-21,10700,10691.558
2022-09-22,10675,10684.305
2022-09-23,10650,10661.158
2022-09-24,10650,10635.433
2022-09-25,10650,10631.777
2022-09-26,10625,10631.827
2022-09-27,10625,10610.281
2022-09-28,10625,10607.356
2022-09-29,10625,10607.579
2022-09-30,10600,10608.186
2022-10-01,10600,10586.716
2022-10-02,10600,10583.644
2022-10-03,10625,10583.702
2022-10-04,10625,10606.227
2022-10-05,10625,10610.404
2022-10-06,10625,10611.289
2022-10-07,10625,10611.6045
2022-10-08,10625,10611.726
2022-10-09,10625,10611.7705
2022-10-10,10650,10611.79
2022-10-11,10675,10633.906
2022-10-12,10700,10659.712
2022-10-13,10725,10685.964
2022-10-14,10750,10712.166
2022-10-15,10750,10738.189
2022-10-16,10750,10741.704
2022-10-17,10750,10741.421
2022-10-18,10750,10740.583
2022-10-19,10750,10739.691
2022-10-20,10750,10738.893
2022-10-21,10750,10738.22
2022-10-22,10750,10737.668
2022-10-23,10750,10737.217
2022-10-24,10725,10736.847
2022-10-25,10725,10714.219
2022-10-26,10725,10710.432
2022-10-27,10700,10709.856
2022-10-28,10700,10687.491
2022-10-29,10700,10684.005
2022-10-30,10700,10683.735
2022-10-31,10700,10683.924
2022-11-01,10700,10684.216
2022-11-02,10700,10684.506
2022-11-03,10700,10684.758
2022-11-04,10725,10684.967
2022-11-05,10725,10707.387
2022-11-06,10725,10711.117
2022-11-07,10750,10711.619
2022-11-08,10775,10733.92
2022-11-09,10800,10759.693
2022-11-10,10825,10785.853
2022-11-11,10850,10811.964
2022-11-12,10850,10837.914
2022-11-13,10850,10841.2
2022-11-14,10875,10840.787
2022-11-15,10875,10862.365
2022-11-16,10900,10864.888
2022-11-17,10900,10886.92
2022-11-18,10925,10889.573
2022-11-19,10925,10911.692
2022-11-20,10925,10914.336
2022-11-21,10950,10913.862
2022-11-22,10975,10935.679
2022-11-23,10975,10960.941
2022-11-24,10975,10963.949
2022-11-25,11000,10963.564
2022-11-26,11000,10985.455
2022-11-27,11000,10987.983
2022-11-28,11000,10987.525
2022-11-29,11000,10986.778
2022-11-30,11000,10986.026
2022-12-01,11025,10985.354
2022-12-02,11050,11007.527
2022-12-03,11050,11033.18
2022-12-04,11050,11036.43
2022-12-05,11050,11036.303
2022-12-06,11075,11035.724
2022-12-07,11100,11057.879
2022-12-08,11125,11083.433
2022-12-09,11150,11109.382
2022-12-10,11150,11135.332
2022-12-11,11150,11138.221
2022-12-12,11150,11137.662
2022-12-13,11150,11136.68
2022-12-14,11150,11135.668
2022-12-15,11150,11134.764
2022-12-16,11150,11133.993
2022-12-17,11150,11133.349
2022-12-18,11150,11132.809
2022-12-19,11150,11132.358
2022-12-20,11175,11131.982
2022-12-21,11175,11154.621
2022-12-22,11175,11157.597
2022-12-23,11150,11157.64
2022-12-24,11150,11134.371
2022-12-25,11150,11130.789
2022-12-26,11150,11130.184
2022-12-27,11175,11129.987
2022-12-28,11175,11152.904
2022-12-29,11175,11156.152
2022-12-30,11175,11156.432
