Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-01-01,10225,10240.087
2022-01-02,10225,10239.683
2022-01-03,10250,10239.361
2022-01-04,10275,10261.2
2022-01-05,10275,10287.1045
2022-01-06,10275,10291.159
2022-01-07,10275,10290.828
2022-01-08,10275,10290.076
2022-01-09,10275,10289.553
2022-01-10,10275,10289.235
2022-01-11,10275,10289.116
2022-01-12,10300,10289.116
2022-01-13,10300,10311.271
2022-01-14,10325,10315.188
2022-01-15,10325,10337.454
2022-01-16,10325,10340.924
2022-01-17,10325,10340.629
2022-01-18,10325,10339.981
2022-01-19,10325,10339.529
2022-01-20,10325,10339.331
2022-01-21,10350,10339.211
2022-01-22,10350,10361.482
2022-01-23,10350,10365.371
2022-01-24,10350,10365.383
2022-01-25,10350,10364.922
2022-01-26,10350,10364.586
2022-01-27,10350,10364.389
2022-01-28,10350,10364.268
2022-01-29,10350,10364.268
2022-01-30,10350,10364.268
2022-01-31,10350,10364.268
2022-02-01,10350,10364.268
2022-02-02,10225,10364.268
2022-02-03,10225,10252.785
2022-02-04,10225,10233.805
2022-02-05,10225,10233.688
2022-02-06,10225,10235.8545
2022-02-07,10225,10237.478
2022-02-08,10225,10238.452
2022-02-09,10225,10239.047
2022-02-10,10225,10239.047
2022-02-11,10225,10239.047
2022-02-12,10225,10239.047
2022-02-13,10225,10239.047
2022-02-14,10225,10239.047
2022-02-15,10225,10239.047
2022-02-16,10225,10239.047
2022-02-17,10225,10239.047
2022-02-18,10225,10239.047
2022-02-19,10225,10239.047
2022-02-20,10225,10239.047
2022-02-21,10225,10239.047
2022-02-22,10225,10239.047
2022-02-23,10225,10239.047
2022-02-24,10225,10239.047
2022-02-25,10225,10239.047
2022-02-26,10225,10239.047
2022-02-27,10225,10239.047
2022-02-28,10225,10239.047
2022-03-01,10225,10239.047
2022-03-02,10225,10239.047
2022-03-03,10225,10239.047
2022-03-04,10250,10239.047
2022-03-05,10250,10261.082
2022-03-06,10250,10265.028
2022-03-07,10250,10265.135
2022-03-08,10250,10264.718
2022-03-09,10250,10264.394
2022-03-10,10250,10264.197
2022-03-11,10250,10264.078
2022-03-12,10250,10264.078
2022-03-13,10250,10264.078
2022-03-14,10250,10264.078
2022-03-15,10250,10264.078
2022-03-16,10250,10264.078
2022-03-17,10250,10264.078
2022-03-18,10250,10264.078
2022-03-19,10250,10264.078
2022-03-20,10250,10264.078
2022-03-21,10250,10264.078
2022-03-22,10250,10264.078
2022-03-23,10250,10264.078
2022-03-24,10250,10264.078
2022-03-25,10250,10264.078
2022-03-26,10250,10264.078
2022-03-27,10250,10264.078
2022-03-28,10250,10264.078
2022-03-29,10225,10264.078
2022-03-30,10225,10241.993
2022-03-31,10225,10238.089
2022-04-01,10225,10237.996
2022-04-02,10225,10238.41
2022-04-03,10225,10238.732
2022-04-04,10225,10238.928
2022-04-05,10225,10239.047
2022-04-06,10225,10239.047
2022-04-07,10225,10239.047
2022-04-08,10225,10239.047
2022-04-09,10225,10239.047
2022-04-10,10225,10239.047
2022-04-11,10225,10239.047
2022-04-12,10225,10239.047
2022-04-13,10225,10239.047
2022-04-14,10225,10239.047
2022-04-15,10225,10239.047
2022-04-16,10225,10239.047
2022-04-17,10225,10239.047
2022-04-18,10225,10239.047
2022-04-19,10225,10239.047
2022-04-20,10225,10239.047
2022-04-21,10225,10239.047
2022-04-22,10225,10239.047
2022-04-23,10225,10239.047
2022-04-24,10225,10239.047
2022-04-25,10225,10239.047
2022-04-26,10225,10239.047
