Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-01-01,10225,10230.164
2022-01-02,10225,10230.041
2022-01-03,10250,10229.877
2022-01-04,10275,10252.907
2022-01-05,10275,10278.331
2022-01-06,10275,10280.652
2022-01-07,10275,10280.632
2022-01-08,10275,10280.432
2022-01-09,10275,10280.168
2022-01-10,10275,10279.908
2022-01-11,10275,10279.683
2022-01-12,10300,10279.495
2022-01-13,10300,10302.631
2022-01-14,10325,10304.805
2022-01-15,10325,10328.132
2022-01-16,10325,10330.304
2022-01-17,10325,10330.239
2022-01-18,10325,10330.042
2022-01-19,10325,10329.807
2022-01-20,10325,10329.575
2022-01-21,10350,10329.376
2022-01-22,10350,10352.588
2022-01-23,10350,10354.712
2022-01-24,10350,10354.685
2022-01-25,10350,10354.556
2022-01-26,10350,10354.39
2022-01-27,10350,10354.22
2022-01-28,10350,10354.071
2022-01-29,10350,10353.946
2022-01-30,10350,10353.845
2022-01-31,10350,10353.762
2022-02-01,10350,10353.696
2022-02-02,10225,10353.644
2022-02-03,10225,10236.71
2022-02-04,10225,10225.622
2022-02-05,10225,10225.203
2022-02-06,10225,10225.387
2022-02-07,10225,10225.847
2022-02-08,10225,10226.39
2022-02-09,10225,10226.885
2022-02-10,10225,10227.307
2022-02-11,10225,10227.653
2022-02-12,10225,10227.935
2022-02-13,10225,10228.158
2022-02-14,10225,10228.337
2022-02-15,10225,10228.478
2022-02-16,10225,10228.589
2022-02-17,10225,10228.677
2022-02-18,10225,10228.745
2022-02-19,10225,10228.8
2022-02-20,10225,10228.843
2022-02-21,10225,10228.877
2022-02-22,10225,10228.903
2022-02-23,10225,10228.924
2022-02-24,10225,10228.939
2022-02-25,10225,10228.953
2022-02-26,10225,10228.963
2022-02-27,10225,10228.969
2022-02-28,10225,10228.976
2022-03-01,10225,10228.9795
2022-03-02,10225,10228.982
2022-03-03,10225,10228.985
2022-03-04,10250,10228.987
2022-03-05,10250,10252.186
2022-03-06,10250,10254.519
2022-03-07,10250,10254.63
2022-03-08,10250,10254.6
2022-03-09,10250,10254.509
2022-03-10,10250,10254.401
2022-03-11,10250,10254.301
2022-03-12,10250,10254.216
2022-03-13,10250,10254.1455
2022-03-14,10250,10254.089
2022-03-15,10250,10254.043
2022-03-16,10250,10254.008
2022-03-17,10250,10253.979
2022-03-18,10250,10253.956
2022-03-19,10250,10253.9375
2022-03-20,10250,10253.924
2022-03-21,10250,10253.913
2022-03-22,10250,10253.903
2022-03-23,10250,10253.897
2022-03-24,10250,10253.891
2022-03-25,10250,10253.888
2022-03-26,10250,10253.884
2022-03-27,10250,10253.881
2022-03-28,10250,10253.879
2022-03-29,10225,10253.878
2022-03-30,10225,10230.646
2022-03-31,10225,10228.342
2022-04-01,10225,10228.236
2022-04-02,10225,10228.268
2022-04-03,10225,10228.357
2022-04-04,10225,10228.466
2022-04-05,10225,10228.565
2022-04-06,10225,10228.65
2022-04-07,10225,10228.72
2022-04-08,10225,10228.776
2022-04-09,10225,10228.821
2022-04-10,10225,10228.857
2022-04-11,10225,10228.885
2022-04-12,10225,10228.907
2022-04-13,10225,10228.925
2022-04-14,10225,10228.938
2022-04-15,10225,10228.949
2022-04-16,10225,10228.958
2022-04-17,10225,10228.965
2022-04-18,10225,10228.97
2022-04-19,10225,10228.975
2022-04-20,10225,10228.978
2022-04-21,10225,10228.9795
2022-04-22,10225,10228.982
2022-04-23,10225,10228.983
2022-04-24,10225,10228.984
2022-04-25,10225,10228.985
2022-04-26,10225,10228.986
2022-04-27,10225,10228.986
2022-04-28,10225,10228.987
2022-04-29,10225,10228.987
2022-04-30,10225,10228.987
2022-05-01,10425,10228.987
2022-05-02,10425,10415.025
2022-05-03,10425,10433.934
2022-05-04,10425,10434.762
2022-05-05,10425,10434.49
2022-05-06,10425,10433.733
2022-05-07,10425,10432.823
2022-05-08,10450,10431.98
2022-05-09,10450,10454.797
2022-05-10,10475,10456.391
2022-05-11,10500,10479.534
2022-05-12,10450,10504.881
2022-05-13,10450,10459.414
2022-05-14,10450,10454.742
2022-05-15,10450,10454.181
2022-05-16,10450,10453.798
2022-05-17,10425,10453.5625
2022-05-18,10400,10429.85
2022-05-19,10375,10404.052
2022-05-20,10375,10378.264
2022-05-21,10375,10376.04
2022-05-22,10375,10376.104
2022-05-23,10350,10376.346
2022-05-24,10325,10353.193
2022-05-25,10300,10327.867
2022-05-26,10300,10302.47
2022-05-27,10300,10300.443
2022-05-28,10300,10300.694
2022-05-29,10300,10301.097
2022-05-30,10275,10301.53
2022-05-31,10275,10278.603
2022-06-01,10275,10276.688
2022-06-02,10275,10276.886
2022-06-03,10250,10277.153
2022-06-04,10250,10254.151
2022-06-05,10250,10252.131
2022-06-06,10225,10252.255
2022-06-07,10200,10229.234
2022-06-08,10200,10203.977
2022-06-09,10200,10201.794
