Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-01-01,10225,10230.656
2022-01-02,10225,10230.861
2022-01-03,10250,10230.8545
2022-01-04,10275,10254.231
2022-01-05,10275,10280.21
2022-01-06,10275,10281.678
2022-01-07,10275,10280.94
2022-01-08,10275,10281.215
2022-01-09,10275,10281.104
2022-01-10,10275,10280.878
2022-01-11,10275,10280.717
2022-01-12,10300,10280.589
2022-01-13,10300,10304.123
2022-01-14,10325,10306.479
2022-01-15,10325,10329.134
2022-01-16,10325,10331.778
2022-01-17,10325,10330.795
2022-01-18,10325,10330.9375
2022-01-19,10325,10330.876
2022-01-20,10325,10330.682
2022-01-21,10350,10330.538
2022-01-22,10350,10354.178
2022-01-23,10350,10356.458
2022-01-24,10350,10355.381
2022-01-25,10350,10355.617
2022-01-26,10350,10355.609
2022-01-27,10350,10355.451
2022-01-28,10350,10355.343
2022-01-29,10350,10355.261
2022-01-30,10350,10355.19
2022-01-31,10350,10355.133
2022-02-01,10350,10355.086
2022-02-02,10225,10355.049
2022-02-03,10225,10236.312
2022-02-04,10225,10224.603
2022-02-05,10225,10229.429
2022-02-06,10225,10228.001
2022-02-07,10225,10227.76
2022-02-08,10225,10228.31
2022-02-09,10225,10228.683
2022-02-10,10225,10228.954
2022-02-11,10225,10229.191
2022-02-12,10225,10229.386
2022-02-13,10225,10229.541
2022-02-14,10225,10229.667
2022-02-15,10225,10229.767
2022-02-16,10225,10229.848
2022-02-17,10225,10229.912
2022-02-18,10225,10229.964
2022-02-19,10225,10230.004
2022-02-20,10225,10230.037
2022-02-21,10225,10230.063
2022-02-22,10225,10230.084
2022-02-23,10225,10230.102
2022-02-24,10225,10230.114
2022-02-25,10225,10230.125
2022-02-26,10225,10230.134
2022-02-27,10225,10230.14
2022-02-28,10225,10230.1455
2022-03-01,10225,10230.149
2022-03-02,10225,10230.152
2022-03-03,10225,10230.156
2022-03-04,10250,10230.157
2022-03-05,10250,10253.69
2022-03-06,10250,10256.199
2022-03-07,10250,10255.266
2022-03-08,10250,10255.546
2022-03-09,10250,10255.594
2022-03-10,10250,10255.482
2022-03-11,10250,10255.407
2022-03-12,10250,10255.351
2022-03-13,10250,10255.303
2022-03-14,10250,10255.263
2022-03-15,10250,10255.231
2022-03-16,10250,10255.206
2022-03-17,10250,10255.186
2022-03-18,10250,10255.169
2022-03-19,10250,10255.155
2022-03-20,10250,10255.1455
2022-03-21,10250,10255.137
2022-03-22,10250,10255.13
2022-03-23,10250,10255.125
2022-03-24,10250,10255.12
2022-03-25,10250,10255.116
2022-03-26,10250,10255.114
2022-03-27,10250,10255.112
2022-03-28,10250,10255.11
2022-03-29,10225,10255.109
2022-03-30,10225,10231.541
2022-03-31,10225,10229.066
2022-04-01,10225,10230.0
