Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-01-01,10225,10250.103
2022-01-02,10225,10249.547
2022-01-03,10250,10249.478
2022-01-04,10275,10271.393
2022-01-05,10275,10297.73
2022-01-06,10275,10301.279
2022-01-07,10275,10299.887
2022-01-08,10275,10299.266
2022-01-09,10275,10299.223
2022-01-10,10275,10299.24
2022-01-11,10275,10299.238
2022-01-12,10300,10299.238
2022-01-13,10300,10321.285
2022-01-14,10325,10325.586
2022-01-15,10325,10346.831
2022-01-16,10325,10350.533
2022-01-17,10325,10349.571
2022-01-18,10325,10349.034
2022-01-19,10325,10348.976
2022-01-20,10325,10348.996
2022-01-21,10350,10348.992
2022-01-22,10350,10371.188
2022-01-23,10350,10375.402
2022-01-24,10350,10374.468
2022-01-25,10350,10373.909
2022-01-26,10350,10373.857
2022-01-27,10350,10373.879
2022-01-28,10350,10373.874
2022-01-29,10350,10373.874
2022-01-30,10350,10373.874
2022-01-31,10350,10373.874
2022-02-01,10350,10373.874
2022-02-02,10225,10373.874
2022-02-03,10225,10262.781
2022-02-04,10225,10242.122
2022-02-05,10225,10246.547
2022-02-06,10225,10249.305
2022-02-07,10225,10249.6045
2022-02-08,10225,10249.492
2022-02-09,10225,10249.497
2022-02-10,10225,10249.497
2022-02-11,10225,10249.497
2022-02-12,10225,10249.497
2022-02-13,10225,10249.497
2022-02-14,10225,10249.497
2022-02-15,10225,10249.497
2022-02-16,10225,10249.497
2022-02-17,10225,10249.497
2022-02-18,10225,10249.497
2022-02-19,10225,10249.497
2022-02-20,10225,10249.497
2022-02-21,10225,10249.497
2022-02-22,10225,10249.497
2022-02-23,10225,10249.497
2022-02-24,10225,10249.497
2022-02-25,10225,10249.497
2022-02-26,10225,10249.497
2022-02-27,10225,10249.497
2022-02-28,10225,10249.497
2022-03-01,10225,10249.497
2022-03-02,10225,10249.497
2022-03-03,10225,10249.497
2022-03-04,10250,10249.497
2022-03-05,10250,10271.392
2022-03-06,10250,10275.778
2022-03-07,10250,10274.969
2022-03-08,10250,10274.413
2022-03-09,10250,10274.348
2022-03-10,10250,10274.367
2022-03-11,10250,10274.366
2022-03-12,10250,10274.366
2022-03-13,10250,10274.366
2022-03-14,10250,10274.366
2022-03-15,10250,10274.366
2022-03-16,10250,10274.366
2022-03-17,10250,10274.366
2022-03-18,10250,10274.366
2022-03-19,10250,10274.366
2022-03-20,10250,10274.366
2022-03-21,10250,10274.366
2022-03-22,10250,10274.366
2022-03-23,10250,10274.366
2022-03-24,10250,10274.366
2022-03-25,10250,10274.366
2022-03-26,10250,10274.366
2022-03-27,10250,10274.366
2022-03-28,10250,10274.366
2022-03-29,10225,10274.366
