Tanggal,IR-64 I Actual Price,IR-64 I Predictions Price
2022-01-01,10225,10230.258
2022-01-02,10225,10229.89
2022-01-03,10250,10229.813
2022-01-04,10275,10252.396
2022-01-05,10275,10278.438
2022-01-06,10275,10281.066
2022-01-07,10275,10279.947
2022-01-08,10275,10279.505
2022-01-09,10275,10279.414
2022-01-10,10275,10279.39
2022-01-11,10275,10279.382
2022-01-12,10300,10279.382
2022-01-13,10300,10302.139
2022-01-14,10325,10305.43
2022-01-15,10325,10327.479
2022-01-16,10325,10330.354
2022-01-17,10325,10329.477
2022-01-18,10325,10329.088
2022-01-19,10325,10329.012
2022-01-20,10325,10328.995
2022-01-21,10350,10328.987
2022-01-22,10350,10351.8955
2022-01-23,10350,10355.09
2022-01-24,10350,10354.256
2022-01-25,10350,10353.886
2022-01-26,10350,10353.817
2022-01-27,10350,10353.802
2022-01-28,10350,10353.793
2022-01-29,10350,10353.793
2022-01-30,10350,10353.793
2022-01-31,10350,10353.793
2022-02-01,10350,10353.793
2022-02-02,10225,10353.793
2022-02-03,10225,10239.119
2022-02-04,10225,10223.499
2022-02-05,10225,10227.4795
2022-02-06,10225,10229.33
2022-02-07,10225,10229.682
2022-02-08,10225,10229.756
2022-02-09,10225,10229.789
2022-02-10,10225,10229.789
2022-02-11,10225,10229.789
2022-02-12,10225,10229.789
2022-02-13,10225,10229.789
2022-02-14,10225,10229.789
2022-02-15,10225,10229.789
2022-02-16,10225,10229.789
2022-02-17,10225,10229.789
2022-02-18,10225,10229.789
2022-02-19,10225,10229.789
2022-02-20,10225,10229.789
2022-02-21,10225,10229.789
2022-02-22,10225,10229.789
2022-02-23,10225,10229.789
2022-02-24,10225,10229.789
2022-02-25,10225,10229.789
2022-02-26,10225,10229.789
2022-02-27,10225,10229.789
2022-02-28,10225,10229.789
2022-03-01,10225,10229.789
2022-03-02,10225,10229.789
2022-03-03,10225,10229.789
2022-03-04,10250,10229.789
2022-03-05,10250,10252.39
2022-03-06,10250,10255.778
2022-03-07,10250,10255.052
2022-03-08,10250,10254.683
2022-03-09,10250,10254.608
2022-03-10,10250,10254.592
2022-03-11,10250,10254.584
2022-03-12,10250,10254.584
2022-03-13,10250,10254.584
2022-03-14,10250,10254.584
2022-03-15,10250,10254.584
2022-03-16,10250,10254.584
2022-03-17,10250,10254.584
